"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30316","GA","""Atlanta-Sandy Springs-Roswell, GA""",3622,9,11.3314447592068,57.5,3.00699300699301,2.8898426323319
"Zip","30084","GA","""Atlanta-Sandy Springs-Roswell, GA""",3634,9,9.71428571428571,62.5,2.58741258741259,2.8898426323319
"Zip","30305","GA","""Atlanta-Sandy Springs-Roswell, GA""",3647,9,11.5566037735849,88,8.6013986013986,2.8898426323319
"Zip","30152","GA","""Atlanta-Sandy Springs-Roswell, GA""",3656,9,15.0537634408602,71.5,8.53146853146853,2.8898426323319
"Zip","30102","GA","""Atlanta-Sandy Springs-Roswell, GA""",3703,9,8.984375,57,1.11888111888112,2.8898426323319
"Zip","30252","GA","""Atlanta-Sandy Springs-Roswell, GA""",3716,9,10.8352144469526,81,7.76223776223776,2.8898426323319
"Zip","30311","GA","""Atlanta-Sandy Springs-Roswell, GA""",3749,9,12.0967741935484,60,3.91608391608392,2.8898426323319
"Zip","30338","GA","""Atlanta-Sandy Springs-Roswell, GA""",3792,9,8.02139037433155,55.5,0.34965034965035,2.8898426323319
"Zip","30213","GA","""Atlanta-Sandy Springs-Roswell, GA""",3852,9,7.03125,92,4.75524475524475,2.8898426323319
"Zip","30294","GA","""Atlanta-Sandy Springs-Roswell, GA""",3862,9,7.28744939271255,119,6.08391608391608,2.8898426323319
"Zip","30092","GA","""Atlanta-Sandy Springs-Roswell, GA""",3920,9,3.84615384615385,65,0.909090909090909,2.8898426323319
"Zip","30223","GA","""Atlanta-Sandy Springs-Roswell, GA""",4007,9,11.6838487972509,109,9.16083916083916,2.8898426323319
"Zip","30269","GA","""Atlanta-Sandy Springs-Roswell, GA""",4016,9,13.963963963964,69,7.97202797202797,2.8898426323319
"Zip","30344","GA","""Atlanta-Sandy Springs-Roswell, GA""",4027,9,9.88372093023256,62,2.7972027972028,2.8898426323319
"Zip","30180","GA","""Atlanta-Sandy Springs-Roswell, GA""",4059,9,9.58466453674121,61,1.81818181818182,2.8898426323319
"Zip","30189","GA","""Atlanta-Sandy Springs-Roswell, GA""",4096,9,16.6666666666667,70,8.67132867132867,2.8898426323319
"Zip","30033","GA","""Atlanta-Sandy Springs-Roswell, GA""",4113,9,11.9047619047619,57,3.42657342657343,2.8898426323319
"Zip","30087","GA","""Atlanta-Sandy Springs-Roswell, GA""",4141,9,10.2564102564103,72,5.94405594405594,2.8898426323319
"Zip","30046","GA","""Atlanta-Sandy Springs-Roswell, GA""",4153,9,8.33333333333333,63,1.60839160839161,2.8898426323319
"Zip","30238","GA","""Atlanta-Sandy Springs-Roswell, GA""",4156,9,10.5960264900662,68,5.45454545454545,2.8898426323319
"Zip","30014","GA","""Atlanta-Sandy Springs-Roswell, GA""",4246,9,9.40766550522648,100,7.69230769230769,2.8898426323319
"Zip","30329","GA","""Atlanta-Sandy Springs-Roswell, GA""",4253,9,14.6788990825688,55,4.33566433566434,2.8898426323319
"Zip","30117","GA","""Atlanta-Sandy Springs-Roswell, GA""",4331,9,7.93650793650794,96,5.87412587412587,2.8898426323319
"Zip","30341","GA","""Atlanta-Sandy Springs-Roswell, GA""",4336,9,21.9512195121951,52,5.17482517482518,2.8898426323319
"Zip","30342","GA","""Atlanta-Sandy Springs-Roswell, GA""",4402,9,12.779552715655,93,9.44055944055944,2.8898426323319
"Zip","30060","GA","""Atlanta-Sandy Springs-Roswell, GA""",4483,9,7.40740740740741,69,2.0979020979021,2.8898426323319
"Zip","30315","GA","""Atlanta-Sandy Springs-Roswell, GA""",4517,9,17.351598173516,78,9.58041958041958,2.8898426323319
"Zip","30030","GA","""Atlanta-Sandy Springs-Roswell, GA""",4594,9,11.046511627907,60.5,3.28671328671329,2.8898426323319
"Zip","30312","GA","""Atlanta-Sandy Springs-Roswell, GA""",4612,9,10.6918238993711,56,1.95804195804196,2.8898426323319
"Zip","30274","GA","""Atlanta-Sandy Springs-Roswell, GA""",4622,9,8.7378640776699,77,5.03496503496504,2.8898426323319
"Zip","30068","GA","""Atlanta-Sandy Springs-Roswell, GA""",4629,9,16.1434977578475,92,9.79020979020979,2.8898426323319
"Zip","30308","GA","""Atlanta-Sandy Springs-Roswell, GA""",4638,9,11.6129032258065,53.5,2.23776223776224,2.8898426323319
"Zip","30005","GA","""Atlanta-Sandy Springs-Roswell, GA""",4659,9,15.6756756756757,63,6.36363636363636,2.8898426323319
"Zip","30265","GA","""Atlanta-Sandy Springs-Roswell, GA""",4674,9,12.8415300546448,67,6.43356643356643,2.8898426323319
"Zip","30078","GA","""Atlanta-Sandy Springs-Roswell, GA""",4715,9,12.2950819672131,60,4.05594405594406,2.8898426323319
"Zip","30310","GA","""Atlanta-Sandy Springs-Roswell, GA""",4864,9,8.07692307692308,59,0.769230769230769,2.8898426323319
"Zip","30215","GA","""Atlanta-Sandy Springs-Roswell, GA""",4896,9,8.72093023255814,97,6.57342657342657,2.8898426323319
